index,objectType
0,empty
1,Wall
1,Ceiling
1,Floor
2,Ground
2,Box
2,stairs
3,door
1,window
4,chair
5,wardrobe_cabinet
6,table
5,shelving
2,indoor_lamp
7,sofa
8,kitchen_cabinet
9,desk
5,stand
10,bed
5,tv_stand
5,toy
2,ottoman
5,dresser
11,sink
2,plant
2,kitchenware
2,kitchen_appliance
9,workplace
8,hanging_kitchen_cabinet
2,mirror
2,vase
4,bench_chair
2,fireplace
6,kitchen_set
2,household_appliance
2,person
4,outdoor_seating
1,curtain
2,cart
5,hanger
0,fence
12,bathtub
13,toilet
5,shoes_cabinet
2,pet
2,bathroom_stuff
2,partition
2,trinket
2,music
2,gym_equipment
6,table_and_chair
9,dressing_table
2,clock
2,candle
2,vehicle
2,outdoor_lamp
14,television
15,shower
2,picture_frame
2,recreation
2,rug
2,pool
10,pillow
2,trash_can
4,storage_bench
2,outdoor_cover
2,grill
2,outdoor_spring
3,garage_door
2,fan
1,column
2,books
3,arch
2,wood_board
2,switch
2,safe
2,heater
2,decoration
2,computer
2,air_conditioner
2,whiteboard
2,tripod
2,shoes
2,roof
2,mailbox
2,magazines
2,headstone
2,drinkbar
5,coffin
2,cloth
2,ATM
